# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	study_items
GO:0110165	CC	e	cellular anatomical entity	375/466	1887/2550	0.00035954154443360785	1	375	0.0913235522861364	aaeA, abgA, accA, ackA, acnA, acrA, adiA, alaA, aldA, alkA, amiA, amyA, ansA, aphA, appA, araA, arcA, argA, aroA, asmA, asnA, aspA, atpA, avtA, bacA, bamA, barA, bcsA, betA, bglA, bhsA, bioA, birA, bolA, bsmA, cadA, caiA, carA, cbpA, ccmA, chaA, chbA, cheA, cirA, clcA, clpA, cmoA, cmtA, coaA, copA, corA, cpxA, csgA, cspA, csrA, cstA, cutA, cvpA, cvrA, cyaA, cycA, cydA, cyoA, cysA, dacA, dadA, dapA, dbpA, dctA, dcuA, ddlA, ddpA, dedA, deoA, dgkA, djlA, dkgA, dksA, dmlA, dmsA, dnaA, dpiA, dppA, dsbA, dsdA, dtpA, dusA, eamA, ecnA, emtA, endA, entA, eptA, erpA, evgA, fabA, fadA, fbaA, fdrA, fecA, feoA, fepA, fhlA, fhuA, fkpA, fldA, flhA, fliA, focA, frdA, frlA, frmA, fruA, frvA, fryA, fsaA, ftnA, ftsA, fucA, fusA, fxsA, gadA, gapA, gatA, gcvA, gdhA, gfcA, ghrA, glcA, gldA, glgA, glnA, gloA, glpA, gltA, glyA, gnsA, gpmA, gpsA, greA, gshA, gsiA, guaA, gyrA, hchA, hdeA, hdhA, hipA, hisA, hokA, hrpA, hscA, hsrA, hupA, hyaA, hybA, hypA, hyuA, iaaA, iadA, ibpA, ihfA, infA, iscA, ispA, kdpA, kdsA, lacA, ldcA, ldhA, lepA, leuA, lexA, lfhA, ligA, lipA, lolA, lplA, lptA, lpxA, lspA, lsrA, macA, maeA, manA, mcbA, mdfA, mdlA, mdtA, melA, menA, mepA, metA, mglA, mgsA, mgtA, mipA, mlaA, mltA, mngA, mnmA, mobA, modA, moeA, motA, mpaA, mppA, mprA, mrcA, mrdA, msbA, msrA, mtfA, mtgA, mtlA, murA, mzrA, nadA, nanA, napA, nemA, nfrA, nfsA, nfuA, nhaA, nhoA, nikA, nlpA, nrdA, nrfA, nuoA, nusA, ompA, oppA, otsA, paaA, paoA, patA, pdxA, pepA, pfkA, pflA, pgaA, pgpA, pgsA, pheA, phoA, pitA, pldA, pmbA, pntA, polA, potA, ppdA, ppiA, pppA, ppsA, pptA, pqiA, prfA, prmA, proA, pspA, pssA, pstA, ptrA, ptsA, purA, putA, pykA, qmcA, qorA, queA, raiA, rapA, ravA, rbbA, rbfA, rbsA, rcnA, recA, rhaA, rhtA, ribA, rihA, rlpA, rnhA, rpiA, rplA, rpmA, rpoA, rpsA, rraA, rseA, rsgA, rsmA, rstA, rsuA, rsxA, rtcA, ruvA, safA, sanA, sapA, sbmA, sdaA, sdhA, secA, selA, seqA, serA, setA, sfmA, shiA, sixA, slmA, sodA, solA, speA, sppA, srlA, sseA, sspA, ssuA, sthA, stpA, sucA, sufA, surA, tabA, talA, tatA, tauA, tdcA, tehA, tesA, thyA, tktA, tmcA, tnaA, tolA, topA, torA, tpiA, tqsA, treA, trkA, trmA, trpA, trxA, tsgA, ttcA, tufA, tynA, tyrA, ubiA, ugpA, uhpA, uidA, ulaA, uraA, ushA, uspA, uvrA, viaA, waaA, wrbA, xapA, xseA, xthA, xylA, zapA, zipA, zntA, znuA
GO:0005575	CC	e	cellular_component	384/466	1948/2550	0.0005801999624080763	0	384	0.14737079045165138	aaeA, abgA, accA, ackA, acnA, acrA, adiA, alaA, aldA, alkA, amiA, amyA, ansA, aphA, appA, araA, arcA, argA, arnA, aroA, asmA, asnA, aspA, atpA, avtA, bacA, bamA, barA, bcsA, betA, bglA, bhsA, bioA, birA, bolA, bsmA, cadA, caiA, carA, cbpA, ccmA, chaA, chbA, cheA, cirA, clcA, clpA, cmoA, cmtA, coaA, copA, corA, cpxA, csgA, cspA, csrA, cstA, cutA, cvpA, cvrA, cyaA, cycA, cydA, cyoA, cysA, dacA, dadA, dapA, dbpA, dctA, dcuA, ddlA, ddpA, dedA, deoA, dgkA, djlA, dkgA, dksA, dmlA, dmsA, dnaA, dpiA, dppA, dsbA, dsdA, dtpA, dusA, eamA, ebgA, ecnA, emtA, endA, entA, eptA, erpA, evgA, fabA, fadA, fbaA, fdrA, fecA, feoA, fepA, fhlA, fhuA, fkpA, fldA, flhA, fliA, focA, frdA, frlA, frmA, fruA, frvA, fryA, fsaA, ftnA, ftsA, fucA, fusA, fxsA, gadA, gapA, gatA, gcvA, gdhA, gfcA, ghrA, glcA, gldA, glgA, glnA, gloA, glpA, gltA, glyA, gnsA, gpmA, gpsA, greA, gshA, gsiA, guaA, gyrA, hchA, hdeA, hdhA, hipA, hisA, hokA, holA, hrpA, hscA, hsrA, hupA, hyaA, hybA, hyfA, hypA, hyuA, iaaA, iadA, ibpA, ihfA, infA, iscA, ispA, kdpA, kdsA, lacA, ldcA, ldhA, lepA, leuA, lexA, lfhA, ligA, lipA, lolA, lplA, lptA, lpxA, lspA, lsrA, macA, maeA, manA, marA, mcbA, mdfA, mdlA, mdtA, melA, menA, mepA, metA, mglA, mgsA, mgtA, mipA, mlaA, mltA, mngA, mnmA, moaA, mobA, modA, moeA, motA, mpaA, mppA, mprA, mrcA, mrdA, msbA, msrA, mtfA, mtgA, mtlA, murA, mzrA, nadA, nanA, napA, nemA, nfrA, nfsA, nfuA, nhaA, nhoA, nikA, nlpA, nrdA, nrfA, nuoA, nusA, ompA, oppA, otsA, paaA, paoA, patA, pdxA, pepA, pfkA, pflA, pgaA, pgpA, pgsA, pheA, phoA, pitA, pldA, pmbA, pntA, polA, potA, ppdA, ppiA, pppA, ppsA, pptA, pqiA, prfA, priA, prmA, proA, pspA, pssA, pstA, ptrA, ptsA, purA, putA, pykA, qmcA, qorA, queA, raiA, rapA, rarA, ravA, rbbA, rbfA, rbsA, rcnA, recA, rhaA, rhtA, ribA, rihA, rlpA, rnhA, rnpA, rpiA, rplA, rpmA, rpoA, rpsA, rraA, rseA, rsgA, rsmA, rstA, rsuA, rsxA, rtcA, ruvA, safA, sanA, sapA, sbmA, sdaA, sdhA, secA, selA, seqA, serA, setA, sfmA, shiA, sixA, slmA, sodA, solA, speA, sppA, srlA, sseA, sspA, ssuA, sthA, stpA, sucA, sufA, surA, tabA, talA, tatA, tauA, tdcA, tehA, tesA, thyA, tktA, tmcA, tnaA, tolA, topA, torA, tpiA, tqsA, treA, trkA, trmA, trpA, trxA, tsgA, ttcA, tufA, tynA, tyrA, ubiA, ugpA, uhpA, uidA, ulaA, uraA, ushA, uspA, uvrA, viaA, waaA, wrbA, xapA, xseA, xthA, xylA, zapA, zipA, zntA, znuA
